 index A + B → Y
400 : CCOC1=C(C=C(C=C1)Br)OC + C[C@@H]1CNCCN1C(=O)OC(C)(C)C → CCOC1=C(C=C(C=C1)N2CCN[C@@H](C2)C)OC
401 : CN(C)C1=CC=CC=C1Br + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC=C2N(C)C
402 : COC1=CC=CC=C1Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC=C2OC
403 : CC1=CC(=NC=C1C2=CC=C(C=C2)C3=NC4=C(C=CC=C4C(=O)N3)CO)Cl + C[C@H]1CNCCN1C → C[C@H]1CN(CCN1C)C2=NC=C(C(=C2)C)C3=CC=C(C=C3)C4=NC5=C(C=CC=C5C(=O)N4)CO
404 : C1=CC(=NC=C1I)Br + C1COCCN1 → C1COCCN1C2=CN=C(C=C2)Br
405 : CC1(C2=NC(=C(N2CCN1C(=O)CNC(=O)OC(C)(C)C)Br)C3=CC=C(C=C3)F)C + C1=CC(=CC=C1N)F → CC1(C2=NC(=C(N2CCN1C(=O)CNC(=O)OC(C)(C)C)NC3=CC=C(C=C3)F)C4=CC=C(C=C4)F)C
406 : C1=CC(=CC(=C1)Br)C(F)(F)F + COC1=CC=CC(=C1)N → COC1=CC=CC(=C1)NC2=CC=CC(=C2)C(F)(F)F
407 : C1=CC(=CC(=C1)Br)C(F)(F)F + CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2 → CC(C)(C)OC(=O)N1CC2CC1CN2C3=CC=CC(=C3)C(F)(F)F
408 : C1=CN=C(C=C1Cl)Cl + CC1=NC(=NC=C1)N → CC1=NC(=NC=C1)NC2=NC=CC(=C2)Cl
409 : C1=CC(=CC=C1O)Br + C[C@@H]1CN(CCN1)C(=O)OC(C)(C)C → C[C@@H]1CN(CCN1C2=CC=C(C=C2)O)C(=O)OC(C)(C)C
410 : C1=CC(=C(C=C1C(F)(F)F)I)F + COC1=NC(=NC=C1Br)N → COC1=NC(=NC=C1Br)NC2=C(C=CC(=C2)C(F)(F)F)F
411 : COC1=C(C=CC(=C1)Cl)I + CN1CCNCC1 → CN1CCN(CC1)C2=C(C=C(C=C2)Cl)OC
412 : C1CN(CC2=C1C(=NC=C2)Cl)S(=O)(=O)C3=CC=CO3 + C1=CC=C2C(=C1)C=C(C=N2)N → C1CN(CC2=C1C(=NC=C2)NC3=CC4=CC=CC=C4N=C3)S(=O)(=O)C5=CC=CO5
413 : C1=CC(=CN=C1)Br + C1=CC=NC(=C1)N → C1=CC=NC(=C1)NC2=CN=CC=C2
414 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)N(C)C1=CC2=C(C=C1)C=CN2 → CC(=O)N(C)C1=CC2=C(C=C1)C=CN2C3=NC4=C(C=NN4C(=C3)NC5CC5)C#N
415 : CS(=O)(=O)CC1=C(C=CC(=C1)N)Cl + C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl → CS(=O)(=O)CC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)Cl
416 : C1=CC(=C(C=C1F)C=O)Br + C1CCNC1 → C1CCN(C1)C2=C(C=C(C=C2)F)C=O
417 : C1=CC(=NC(=C1)Br)Br + C1COCC(=O)N1 → C1COCC(=O)N1C2=NC(=CC=C2)Br
418 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=CC=CC(=C1)N → CC(=O)NC1=CC=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N
419 : C1=CC=C(C=C1)Br + C1CC(C1)N2CCN(CC2)C(=O)C3CC4(C3)CCNCC4 → C1CC(C1)N2CCN(CC2)C(=O)C3CC4(C3)CCN(CC4)C5=CC=CC=C5
420 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N2CC[C@@H](C2)N(C)C → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N5CC[C@@H](C5)N(C)C
421 : CC1=CC(=CC(=N1)Cl)CO + CC(C)(C)OC(=O)N → CC1=CC(=CC(=N1)NC(=O)OC(C)(C)C)CO
422 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(C)C1=C(C=C(C=C1)N)NC(=O)C → CC(C)C1=C(C=C(C=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)NC(=O)C
423 : C1CN(C(=O)OC1)C2=NC(=CC=C2)Br + CC1=CSC(=N1)N → CC1=CSC(=N1)NC2=NC(=CC=C2)N3CCCOC3=O
424 : CC1=CC(=C(C=C1)NC2=C(N=NC3=C2C=CC(=C3)Br)C#N)F + C1CNCCN1 → CC1=CC(=C(C=C1)NC2=C(N=NC3=C2C=CC(=C3)N4CCNCC4)C#N)F
425 : C1=CN=C(C=C1Cl)Cl + CC1=CC(=NC(=N1)C)N → CC1=CC(=NC(=N1)C)NC2=NC=CC(=C2)Cl
426 : C1=CC(=C(C=C1F)Cl)Br + C1CNCCC1=O → C1CN(CCC1=O)C2=C(C=C(C=C2)F)Cl
427 : C1=CC=NC(=C1)Br + C1CC(C1)N2CCN(CC2)C(=O)C3CC4(C3)CCNCC4 → C1CC(C1)N2CCN(CC2)C(=O)C3CC4(C3)CCN(CC4)C5=CC=CC=N5
428 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=C(C=C(C=C1)N)NC(=O)C → CC1=C(C=C(C=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)NC(=O)C
429 : CS(=O)(=O)C1=CC=C(C=C1)Br + C[C@@H]1CNCCN1C(=O)OC(C)(C)C → C[C@@H]1CN(CCN1C(=O)OC(C)(C)C)C2=CC=C(C=C2)S(=O)(=O)C
430 : C1=CC(=C(C=C1Br)Cl)C#N + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC(=C(C=C2)C#N)Cl
431 : CC1=NC(=CC=C1)Br + C/C=C(/C1=CC=C(C=C1)C)\N(C2=CC=C(C=C2)OC)C(=O)NC → C/C=C(/C1=CC=C(C=C1)C)\N(C2=CC=C(C=C2)OC)C(=O)N(C)C3=CC=CC(=N3)C
432 : C1C(CO1)NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=CC(=C(C=C1C2CC2)F)N → CC(=O)NC1=CC(=C(C=C1C2CC2)F)NC3=NC4=C(C=NN4C(=C3)NC5COC5)C#N
433 : C1=CC(=NC(=C1)Br)C(=O)O + CC1=CSC(=N1)N → CC1=CSC(=N1)NC2=CC=CC(=N2)C(=O)O
434 : C1=CC(=NC(=C1)Cl)C(F)(F)F + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC(=N2)C(F)(F)F
435 : COC1=C(C=CC(=C1)Br)Cl + CC(C)(C)OC(=O)N1CC2CNCC2C1 → CC(C)(C)OC(=O)N1CC2CN(CC2C1)C3=CC(=C(C=C3)Cl)OC
436 : C1COCC(=O)N1C2=NC(=CC=C2)Br + CC1=CSC(=N1)N → CC1=CSC(=N1)NC2=NC(=CC=C2)N3CCOCC3=O
437 : C1=C(C=NN=C1Cl)Cl + CC(C)(C)OC(=O)N → CC(C)(C)OC(=O)NC1=NN=CC(=C1)Cl
438 : C1=CC=C(C(=C1)Cl)Br + C(CN)N → C1=CC=C(C(=C1)NCCN)Cl
439 : C1=CC2=C(C=C1Br)OC(O2)(F)F + C1CNCCN1 → C1CN(CCN1)C2=CC3=C(C=C2)OC(O3)(F)F
440 : COC1=NC(=CC=C1)Br + C/C=C(/C1=CC=C(C=C1)Cl)\N(C2=CC=C(C=C2)OC)C(=O)NC → C/C=C(/C1=CC=C(C=C1)Cl)\N(C2=CC=C(C=C2)OC)C(=O)N(C)C3=NC(=CC=C3)OC
441 : C1=C(C=C(C=C1F)Br)C#N + CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)N → CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)NC4=CC(=CC(=C4)C#N)F
442 : C1=CN=C(C=C1Cl)Cl + C1=CN=C(N=C1)N → C1=CN=C(N=C1)NC2=NC=CC(=C2)Cl
443 : CN1C=C(N=C1)NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=C(C=C(C=C1)N)NC(=O)C → CC1=C(C=C(C=C1)NC2=NC3=C(C=NN3C(=C2)NC4=CN(C=N4)C)C#N)NC(=O)C
444 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N(C)CCO → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N(C)CCO
445 : C1=CC(=CN=C1)Br + C1CC(C1)N2CCN(CC2)C(=O)C3CC4(C3)CCNCC4 → C1CC(C1)N2CCN(CC2)C(=O)C3CC4(C3)CCN(CC4)C5=CN=CC=C5
446 : COC1=C(C=C(C=C1)Br)OC + CC(C)[C@@H]1CNCCN1C(=O)OC(C)(C)C → CC(C)[C@@H]1CN(CCN1C(=O)OC(C)(C)C)C2=CC(=C(C=C2)OC)OC
447 : CC1=C(C=CC(=N1)Cl)F + CC(C)(C)OC(=O)N → CC1=C(C=CC(=N1)NC(=O)OC(C)(C)C)F
448 : COC(=O)C1=CC(=CC(=C1)Br)[N+](=O)[O-] + CN1CCNCC1 → CN1CCN(CC1)C2=CC(=CC(=C2)C(=O)OC)[N+](=O)[O-]
449 : CC1=C(C=C(C=C1)Br)[N+](=O)[O-] + C1CNCCN1 → CC1=C(C=C(C=C1)N2CCNCC2)[N+](=O)[O-]
450 : C1CC(C1)NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=CC(=C(C=C1NC(=O)C)N)F → CC1=CC(=C(C=C1NC(=O)C)NC2=NC3=C(C=NN3C(=C2)NC4CCC4)C#N)F
451 : C1=C(N=CC(=N1)Cl)C(F)(F)F + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=C(N=C2)C(F)(F)F
452 : C1=CC=C2C(=C1)C=CC(=N2)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=NC3=CC=CC=C3C=C2
453 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=CN=C(C=C1NC(=O)C)N → CC1=CN=C(C=C1NC(=O)C)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N
454 : C1=CC(=CC(=C1)Br)C(F)(F)F + C1CNCCC1O → C1CN(CCC1O)C2=CC=CC(=C2)C(F)(F)F
455 : C1=CC(=NC(=C1)Br)Br + C1COCCC1N → C1COCCC1NC2=NC(=CC=C2)Br
456 : C1C(CO1)NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=C(C=C(C=C1)N)NC(=O)C → CC1=C(C=C(C=C1)NC2=NC3=C(C=NN3C(=C2)NC4COC4)C#N)NC(=O)C
457 : C1=CC=NC(=C1)Br + C1CC(C1)N2CCN(CC2)C(=O)C3CC34CCNCC4 → C1CC(C1)N2CCN(CC2)C(=O)C3CC34CCN(CC4)C5=CC=CC=N5
458 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + C1=CC(=CC2=C1C=CN2)CO → C1CC1NC2=CC(=NC3=C(C=NN23)C#N)N4C=CC5=C4C=C(C=C5)CO
459 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N2CCN(CC2)C → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N5CCN(CC5)C
460 : COC(=O)C1=C(C=C(C=C1)Br)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC(=C(C=C2)C(=O)OC)Cl
461 : C1C(CO1)NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)C2CC2 → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4COC4)C#N)C5CC5
462 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N2CCC[C@H](C2)N(C)C → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N5CCC[C@H](C5)N(C)C
463 : C1=C(C=C(C(=C1F)F)Br)F + CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)N → CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)NC4=C(C(=CC(=C4)F)F)F
464 : CN1C=CC(=N1)NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC1=C(C=C(C=C1)N)NC(=O)C → CC1=C(C=C(C=C1)NC2=NC3=C(C=NN3C(=C2)NC4=NN(C=C4)C)C#N)NC(=O)C
465 : C1=CC(=C(C=C1Br)F)C(F)(F)F + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=CC(=C(C=C2)C(F)(F)F)F
466 : C1=C(C=C(C=C1Cl)Br)F + CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)N → CC(C1=CC(=CC2=C1OC(=CC2=O)N3CCOCC3)C(=O)N(C)C)NC4=CC(=CC(=C4)Cl)F
467 : CC(C)(C)OC(=O)C1=CC=C(C=C1)Br + CCOC(=O)C1CCNCC1 → CCOC(=O)C1CCN(CC1)C2=CC=C(C=C2)C(=O)OC(C)(C)C
468 : C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)N4C=NC5=C4C=CC=C5Br + C1CNCCN1 → C1CN(CCN1)C2=CC=CC3=C2N=CN3C(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6
469 : C1=CC(=C(C=C1C(F)(F)F)Br)F + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=CC(=C2)C(F)(F)F)F
470 : C1=CN=C(C=C1C(F)(F)F)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=CC(=C2)C(F)(F)F
471 : C1=CC2=C(C=CC(=C2N=C1)OS(=O)(=O)C(F)(F)F)Cl + CC(C)(C)OC(=O)N1CCNCC1 → CC(C)(C)OC(=O)N1CCN(CC1)C2=C3C(=C(C=C2)Cl)C=CC=N3
472 : C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl + CC(=O)NC1=C(C=CC(=C1)N)N(C)CCCN(C)C → CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N(C)CCCN(C)C
